Source,Target,Strength
AI,Aerospace,1
AI,Construction,0
AI,Consumer,1
AI,Crypto,0
AI,Data,2
AI,Education,1
AI,Energy,1
AI,Finance,1
AI,Fitness,0
AI,Food,0
AI,HR,1
AI,Hardware,1
AI,Healthcare,1
AI,Infrastructure,1
AI,Legal,1
AI,Logistics,1
AI,Manufacturing,1
AI,Marketing,2
AI,Media,2
AI,Other,0
AI,Product,1
AI,Real Estate,0
AI,Recruiting,1
AI,Retail,2
AI,Sales,1
AI,Security,1
AI,Support,2
AI,Transportation,0
AI,Travel,1
Aerospace,Construction,1
Aerospace,Consumer,0
Aerospace,Crypto,0
Aerospace,Data,0
Aerospace,Education,0
Aerospace,Energy,1
Aerospace,Finance,0
Aerospace,Fitness,0
Aerospace,Food,0
Aerospace,HR,0
Aerospace,Hardware,1
Aerospace,Healthcare,0
Aerospace,Infrastructure,0
Aerospace,Legal,0
Aerospace,Logistics,0
Aerospace,Manufacturing,1
Aerospace,Marketing,0
Aerospace,Media,0
Aerospace,Other,0
Aerospace,Product,0
Aerospace,Real Estate,0
Aerospace,Recruiting,0
Aerospace,Retail,0
Aerospace,Sales,0
Aerospace,Security,0
Aerospace,Support,0
Aerospace,Transportation,1
Aerospace,Travel,1
Construction,Consumer,0
Construction,Crypto,0
Construction,Data,0
Construction,Education,0
Construction,Energy,2
Construction,Finance,0
Construction,Fitness,0
Construction,Food,0
Construction,HR,0
Construction,Hardware,0
Construction,Healthcare,0
Construction,Infrastructure,0
Construction,Legal,0
Construction,Logistics,1
Construction,Manufacturing,1
Construction,Marketing,0
Construction,Media,0
Construction,Other,0
Construction,Product,0
Construction,Real Estate,2
Construction,Recruiting,0
Construction,Retail,0
Construction,Sales,0
Construction,Security,0
Construction,Support,0
Construction,Transportation,1
Construction,Travel,0
Consumer,Crypto,0
Consumer,Data,1
Consumer,Education,1
Consumer,Energy,0
Consumer,Finance,2
Consumer,Fitness,2
Consumer,Food,2
Consumer,HR,0
Consumer,Hardware,0
Consumer,Healthcare,1
Consumer,Infrastructure,0
Consumer,Legal,0
Consumer,Logistics,0
Consumer,Manufacturing,1
Consumer,Marketing,2
Consumer,Media,2
Consumer,Other,0
Consumer,Product,0
Consumer,Real Estate,0
Consumer,Recruiting,0
Consumer,Retail,2
Consumer,Sales,1
Consumer,Security,1
Consumer,Support,1
Consumer,Transportation,1
Consumer,Travel,1
Crypto,Data,2
Crypto,Education,0
Crypto,Energy,1
Crypto,Finance,2
Crypto,Fitness,0
Crypto,Food,0
Crypto,HR,0
Crypto,Hardware,1
Crypto,Healthcare,0
Crypto,Infrastructure,2
Crypto,Legal,0
Crypto,Logistics,0
Crypto,Manufacturing,0
Crypto,Marketing,0
Crypto,Media,0
Crypto,Other,0
Crypto,Product,0
Crypto,Real Estate,0
Crypto,Recruiting,0
Crypto,Retail,0
Crypto,Sales,0
Crypto,Security,2
Crypto,Support,0
Crypto,Transportation,0
Crypto,Travel,0
Data,Education,0
Data,Energy,0
Data,Finance,2
Data,Fitness,2
Data,Food,0
Data,HR,1
Data,Hardware,1
Data,Healthcare,2
Data,Infrastructure,2
Data,Legal,0
Data,Logistics,2
Data,Manufacturing,2
Data,Marketing,2
Data,Media,1
Data,Other,0
Data,Product,1
Data,Real Estate,0
Data,Recruiting,0
Data,Retail,2
Data,Sales,2
Data,Security,2
Data,Support,0
Data,Transportation,0
Data,Travel,0
Education,Energy,0
Education,Finance,1
Education,Fitness,1
Education,Food,0
Education,HR,1
Education,Hardware,0
Education,Healthcare,0
Education,Infrastructure,0
Education,Legal,0
Education,Logistics,0
Education,Manufacturing,0
Education,Marketing,0
Education,Media,1
Education,Other,0
Education,Product,0
Education,Real Estate,0
Education,Recruiting,2
Education,Retail,0
Education,Sales,0
Education,Security,0
Education,Support,1
Education,Transportation,0
Education,Travel,1
Energy,Finance,0
Energy,Fitness,0
Energy,Food,0
Energy,HR,0
Energy,Hardware,0
Energy,Healthcare,0
Energy,Infrastructure,1
Energy,Legal,0
Energy,Logistics,1
Energy,Manufacturing,1
Energy,Marketing,0
Energy,Media,0
Energy,Other,0
Energy,Product,0
Energy,Real Estate,1
Energy,Recruiting,0
Energy,Retail,0
Energy,Sales,0
Energy,Security,0
Energy,Support,0
